wk_full,wk,id,bundesland_de,bundesland_en
001 Flensburg – Schleswig,Flensburg – Schleswig,001,Schleswig-Holstein,Schleswig-Holstein
002 Nordfriesland – Dithmarschen Nord,Nordfriesland – Dithmarschen Nord,002,Schleswig-Holstein,Schleswig-Holstein
003 Steinburg – Dithmarschen Süd,Steinburg – Dithmarschen Süd,003,Schleswig-Holstein,Schleswig-Holstein
004 Rendsburg-Eckernförde,Rendsburg-Eckernförde,004,Schleswig-Holstein,Schleswig-Holstein
005 Kiel,Kiel,005,Schleswig-Holstein,Schleswig-Holstein
037 Lüchow-Dannenberg – Lüneburg,Lüchow-Dannenberg – Lüneburg,037,Niedersachsen,Lower Saxony
006 Plön – Neumünster,Plön – Neumünster,006,Schleswig-Holstein,Schleswig-Holstein
009 Ostholstein – Stormarn-Nord,Ostholstein – Stormarn-Nord,009,Schleswig-Holstein,Schleswig-Holstein
007 Pinneberg,Pinneberg,007,Schleswig-Holstein,Schleswig-Holstein
026 Friesland – Wilhelmshaven – Wittmund,Friesland – Wilhelmshaven – Wittmund,026,Niedersachsen,Lower Saxony
029 Cuxhaven – Stade II,Cuxhaven – Stade II,029,Niedersachsen,Lower Saxony
024 Aurich – Emden,Aurich – Emden,024,Niedersachsen,Lower Saxony
011 Lübeck,Lübeck,011,Schleswig-Holstein,Schleswig-Holstein
008 Segeberg – Stormarn-Mitte,Segeberg – Stormarn-Mitte,008,Schleswig-Holstein,Schleswig-Holstein
027 Oldenburg – Ammerland,Oldenburg – Ammerland,027,Niedersachsen,Lower Saxony
028 Delmenhorst – Wesermarsch – Oldenburg-Land,Delmenhorst – Wesermarsch – Oldenburg-Land,028,Niedersachsen,Lower Saxony
030 Stade I – Rotenburg II,Stade I – Rotenburg II,030,Niedersachsen,Lower Saxony
021 Hamburg-Nord,Hamburg-Nord,021,Hamburg,Hamburg
022 Hamburg-Wandsbek,Hamburg-Wandsbek,022,Hamburg,Hamburg
014 Rostock – Landkreis Rostock II,Rostock – Landkreis Rostock II,014,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
015 Vorpommern-Rügen – Vorpommern-Greifswald I,Vorpommern-Rügen – Vorpommern-Greifswald I,015,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
025 Unterems,Unterems,025,Niedersachsen,Lower Saxony
034 Osterholz – Verden,Osterholz – Verden,034,Niedersachsen,Lower Saxony
036 Harburg,Harburg,036,Niedersachsen,Lower Saxony
020 Hamburg-Eimsbüttel,Hamburg-Eimsbüttel,020,Hamburg,Hamburg
010 Herzogtum Lauenburg – Stormarn-Süd,Herzogtum Lauenburg – Stormarn-Süd,010,Schleswig-Holstein,Schleswig-Holstein
031 Mittelems,Mittelems,031,Niedersachsen,Lower Saxony
032 Cloppenburg – Vechta,Cloppenburg – Vechta,032,Niedersachsen,Lower Saxony
055 Bremen II – Bremerhaven,Bremen II – Bremerhaven,055,Bremen,Bremen
019 Hamburg-Altona,Hamburg-Altona,019,Hamburg,Hamburg
018 Hamburg-Mitte,Hamburg-Mitte,018,Hamburg,Hamburg
013 Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,013,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
017 Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburgische Seenplatte II – Landkreis Rostock III,017,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
016 Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,016,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
038 Osnabrück-Land,Osnabrück-Land,038,Niedersachsen,Lower Saxony
033 Diepholz – Nienburg I,Diepholz – Nienburg I,033,Niedersachsen,Lower Saxony
012 Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,012,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
035 Rotenburg I – Heidekreis,Rotenburg I – Heidekreis,035,Niedersachsen,Lower Saxony
054 Bremen I,Bremen I,054,Bremen,Bremen
023 Hamburg-Bergedorf – Harburg,Hamburg-Bergedorf – Harburg,023,Hamburg,Hamburg
056 Prignitz – Ostprignitz-Ruppin – Havelland I,Prignitz – Ostprignitz-Ruppin – Havelland I,056,Brandenburg,Brandenburg
058 Oberhavel – Havelland II,Oberhavel – Havelland II,058,Brandenburg,Brandenburg
057 Uckermark – Barnim I,Uckermark – Barnim I,057,Brandenburg,Brandenburg
128 Steinfurt III,Steinfurt III,128,Nordrhein-Westfalen,North Rhine-Westphalia
039 Stadt Osnabrück,Stadt Osnabrück,039,Niedersachsen,Lower Saxony
124 Steinfurt I – Borken I,Steinfurt I – Borken I,124,Nordrhein-Westfalen,North Rhine-Westphalia
126 Borken II,Borken II,126,Nordrhein-Westfalen,North Rhine-Westphalia
040 Nienburg II – Schaumburg,Nienburg II – Schaumburg,040,Niedersachsen,Lower Saxony
041 Stadt Hannover I,Stadt Hannover I,041,Niedersachsen,Lower Saxony
043 Hannover-Land I,Hannover-Land I,043,Niedersachsen,Lower Saxony
044 Celle – Uelzen,Celle – Uelzen,044,Niedersachsen,Lower Saxony
076 Berlin-Pankow,Berlin-Pankow,076,Berlin,Berlin
077 Berlin-Reinickendorf,Berlin-Reinickendorf,077,Berlin,Berlin
078 Berlin-Spandau – Charlottenburg Nord,Berlin-Spandau – Charlottenburg Nord,078,Berlin,Berlin
059 Märkisch-Oderland – Barnim II,Märkisch-Oderland – Barnim II,059,Brandenburg,Brandenburg
129 Münster,Münster,129,Nordrhein-Westfalen,North Rhine-Westphalia
134 Minden-Lübbecke I,Minden-Lübbecke I,134,Nordrhein-Westfalen,North Rhine-Westphalia
051 Helmstedt – Wolfsburg,Helmstedt – Wolfsburg,051,Niedersachsen,Lower Saxony
127 Coesfeld – Steinfurt II,Coesfeld – Steinfurt II,127,Nordrhein-Westfalen,North Rhine-Westphalia
080 Berlin-Charlottenburg-Wilmersdorf,Berlin-Charlottenburg-Wilmersdorf,080,Berlin,Berlin
045 Gifhorn – Peine,Gifhorn – Peine,045,Niedersachsen,Lower Saxony
042 Stadt Hannover II,Stadt Hannover II,042,Niedersachsen,Lower Saxony
047 Hannover-Land II,Hannover-Land II,047,Niedersachsen,Lower Saxony
046 Hameln-Pyrmont – Holzminden,Hameln-Pyrmont – Holzminden,046,Niedersachsen,Lower Saxony
086 Berlin-Lichtenberg,Berlin-Lichtenberg,086,Berlin,Berlin
083 Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,083,Berlin,Berlin
075 Berlin-Mitte,Berlin-Mitte,075,Berlin,Berlin
063 Frankfurt (Oder) – Oder-Spree,Frankfurt (Oder) – Oder-Spree,063,Brandenburg,Brandenburg
133 Herford – Minden-Lübbecke II,Herford – Minden-Lübbecke II,133,Nordrhein-Westfalen,North Rhine-Westphalia
132 Bielefeld – Gütersloh II,Bielefeld – Gütersloh II,132,Nordrhein-Westfalen,North Rhine-Westphalia
131 Gütersloh I,Gütersloh I,131,Nordrhein-Westfalen,North Rhine-Westphalia
130 Warendorf,Warendorf,130,Nordrhein-Westfalen,North Rhine-Westphalia
114 Krefeld II – Wesel II,Krefeld II – Wesel II,114,Nordrhein-Westfalen,North Rhine-Westphalia
112 Kleve,Kleve,112,Nordrhein-Westfalen,North Rhine-Westphalia
066 Altmark,Altmark,066,Sachsen-Anhalt,Saxony-Anhalt
048 Hildesheim,Hildesheim,048,Niedersachsen,Lower Saxony
049 Salzgitter – Wolfenbüttel,Salzgitter – Wolfenbüttel,049,Niedersachsen,Lower Saxony
050 Braunschweig,Braunschweig,050,Niedersachsen,Lower Saxony
085 Berlin-Marzahn-Hellersdorf,Berlin-Marzahn-Hellersdorf,085,Berlin,Berlin
082 Berlin-Neukölln,Berlin-Neukölln,082,Berlin,Berlin
081 Berlin-Tempelhof-Schöneberg,Berlin-Tempelhof-Schöneberg,081,Berlin,Berlin
079 Berlin-Steglitz-Zehlendorf,Berlin-Steglitz-Zehlendorf,079,Berlin,Berlin
135 Lippe I,Lippe I,135,Nordrhein-Westfalen,North Rhine-Westphalia
111 Viersen,Viersen,111,Nordrhein-Westfalen,North Rhine-Westphalia
113 Wesel I,Wesel I,113,Nordrhein-Westfalen,North Rhine-Westphalia
115 Duisburg I,Duisburg I,115,Nordrhein-Westfalen,North Rhine-Westphalia
123 Gelsenkirchen,Gelsenkirchen,123,Nordrhein-Westfalen,North Rhine-Westphalia
122 Recklinghausen II,Recklinghausen II,122,Nordrhein-Westfalen,North Rhine-Westphalia
125 Bottrop – Recklinghausen III,Bottrop – Recklinghausen III,125,Nordrhein-Westfalen,North Rhine-Westphalia
146 Soest,Soest,146,Nordrhein-Westfalen,North Rhine-Westphalia
067 Börde – Jerichower Land,Börde – Jerichower Land,067,Sachsen-Anhalt,Saxony-Anhalt
052 Goslar – Northeim – Osterode,Goslar – Northeim – Osterode,052,Niedersachsen,Lower Saxony
053 Göttingen,Göttingen,053,Niedersachsen,Lower Saxony
084 Berlin-Treptow-Köpenick,Berlin-Treptow-Köpenick,084,Berlin,Berlin
062 Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,062,Brandenburg,Brandenburg
060 Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,060,Brandenburg,Brandenburg
061 Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,061,Brandenburg,Brandenburg
137 Paderborn,Paderborn,137,Nordrhein-Westfalen,North Rhine-Westphalia
136 Höxter – Gütersloh III – Lippe II,Höxter – Gütersloh III – Lippe II,136,Nordrhein-Westfalen,North Rhine-Westphalia
142 Dortmund I,Dortmund I,142,Nordrhein-Westfalen,North Rhine-Westphalia
141 Herne – Bochum II,Herne – Bochum II,141,Nordrhein-Westfalen,North Rhine-Westphalia
121 Recklinghausen I,Recklinghausen I,121,Nordrhein-Westfalen,North Rhine-Westphalia
117 Oberhausen – Wesel III,Oberhausen – Wesel III,117,Nordrhein-Westfalen,North Rhine-Westphalia
116 Duisburg II,Duisburg II,116,Nordrhein-Westfalen,North Rhine-Westphalia
110 Krefeld I – Neuss II,Krefeld I – Neuss II,110,Nordrhein-Westfalen,North Rhine-Westphalia
109 Mönchengladbach,Mönchengladbach,109,Nordrhein-Westfalen,North Rhine-Westphalia
068 Harz,Harz,068,Sachsen-Anhalt,Saxony-Anhalt
069 Magdeburg,Magdeburg,069,Sachsen-Anhalt,Saxony-Anhalt
071 Anhalt,Anhalt,071,Sachsen-Anhalt,Saxony-Anhalt
070 Dessau – Wittenberg,Dessau – Wittenberg,070,Sachsen-Anhalt,Saxony-Anhalt
064 Cottbus – Spree-Neiße,Cottbus – Spree-Neiße,064,Brandenburg,Brandenburg
065 Elbe-Elster – Oberspreewald-Lausitz II,Elbe-Elster – Oberspreewald-Lausitz II,065,Brandenburg,Brandenburg
145 Hamm – Unna II,Hamm – Unna II,145,Nordrhein-Westfalen,North Rhine-Westphalia
147 Hochsauerlandkreis,Hochsauerlandkreis,147,Nordrhein-Westfalen,North Rhine-Westphalia
108 Neuss I,Neuss I,108,Nordrhein-Westfalen,North Rhine-Westphalia
106 Düsseldorf I,Düsseldorf I,106,Nordrhein-Westfalen,North Rhine-Westphalia
107 Düsseldorf II,Düsseldorf II,107,Nordrhein-Westfalen,North Rhine-Westphalia
118 Mülheim – Essen I,Mülheim – Essen I,118,Nordrhein-Westfalen,North Rhine-Westphalia
119 Essen II,Essen II,119,Nordrhein-Westfalen,North Rhine-Westphalia
139 Ennepe-Ruhr-Kreis II,Ennepe-Ruhr-Kreis II,139,Nordrhein-Westfalen,North Rhine-Westphalia
140 Bochum I,Bochum I,140,Nordrhein-Westfalen,North Rhine-Westphalia
143 Dortmund II,Dortmund II,143,Nordrhein-Westfalen,North Rhine-Westphalia
144 Unna I,Unna I,144,Nordrhein-Westfalen,North Rhine-Westphalia
089 Heinsberg,Heinsberg,089,Nordrhein-Westfalen,North Rhine-Westphalia
074 Mansfeld,Mansfeld,074,Sachsen-Anhalt,Saxony-Anhalt
072 Halle,Halle,072,Sachsen-Anhalt,Saxony-Anhalt
157 Görlitz,Görlitz,157,Sachsen,Saxony
156 Bautzen I,Bautzen I,156,Sachsen,Saxony
155 Meißen,Meißen,155,Sachsen,Saxony
151 Nordsachsen,Nordsachsen,151,Sachsen,Saxony
152 Leipzig I,Leipzig I,152,Sachsen,Saxony
